"","x"
"1","acta"
"2","adar"
"3","adit"
"4","adlib"
"5","alate"
"6","alee"
"7","alembic"
"8","allah"
"9","allopath"
"10","amah"
"11","amain"
"12","amor"
"13","anent"
"14","anil"
"15","anole"
"16","anormal"
"17","atlatl"
"18","attrit"
"19","awol"
"20","awry"
"21","bacalao"
"22","ballock"
"23","becalm"
"24","beekeep"
"25","bellbottom"
"26","betel"
"27","betty"
"28","bimbo"
"29","birk"
"30","birria"
"31","bitty"
"32","bleb"
"33","bole"
"34","bolete"
"35","boyar"
"36","brill"
"37","bulled"
"38","cajun"
"39","calcite"
"40","canto"
"41","caput"
"42","caracal"
"43","caracara"
"44","chicane"
"45","chid"
"46","chile"
"47","chink"
"48","clew"
"49","cline"
"50","cockcrow"
"51","cogged"
"52","condign"
"53","cope"
"54","corm"
"55","courant"
"56","cowtown"
"57","criollo"
"58","croft"
"59","cronut"
"60","cyanate"
"61","cyclonic"
"62","dado"
"63","dele"
"64","denned"
"65","dhow"
"66","dobro"
"67","dorado"
"68","dought"
"69","droit"
"70","drydock"
"71","ebola"
"72","enffeof"
"73","fain"
"74","faro"
"75","feof"
"76","fiord"
"77","firn"
"78","flox"
"79","foemen"
"80","forint"
"81","fowling"
"82","frit"
"83","fritillary"
"84","gaffing"
"85","gibbet"
"86","godown"
"87","goyem"
"88","grunion"
"89","gutful"
"90","heddle"
"91","hella"
"92","hellenic"
"93","helo"
"94","helot"
"95","hemophage"
"96","henge"
"97","hipped"
"98","hoopoe"
"99","iatric"
"100","javelina"
"101","kana"
"102","kanaka"
"103","kata"
"104","katakana"
"105","katana"
"106","kine"
"107","koan"
"108","laird"
"109","lamaze"
"110","lambic"
"111","legatee"
"112","lenten"
"113","lepton"
"114","levelly"
"115","liana"
"116","lichee"
"117","lichi"
"118","lief"
"119","lobar"
"120","logoff"
"121","logon"
"122","luff"
"123","maharana"
"124","mamee"
"125","mamey"
"126","mammee"
"127","melton"
"128","midden"
"129","milt"
"130","mirin"
"131","monic"
"132","muon"
"133","nacelle"
"134","nalgene"
"135","naphtha"
"136","nappy"
"137","navvy"
"138","nodal"
"139","noetic"
"140","nonage"
"141","nopal"
"142","nori"
"143","nuncio"
"144","nutwood"
"145","oarman"
"146","olla"
"147","onramp"
"148","organon"
"149","ormolu"
"150","otic"
"151","palapa"
"152","pappadam"
"153","parr"
"154","paten"
"155","pegleg"
"156","pennate"
"157","peptone"
"158","piney"
"159","pipped"
"160","pippit"
"161","plagel"
"162","poopy"
"163","poptop"
"164","prana"
"165","priapic"
"166","prion"
"167","proa"
"168","ragu"
"169","rana"
"170","rarify"
"171","riant"
"172","riata"
"173","ribband"
"174","riprap"
"175","robotry"
"176","rootball"
"177","slut"
"178","taffrail"
"179","tarbaby"
"180","tarball"
"181","tarn"
"182","telly"
"183","tenpenny"
"184","tipi"
"185","tiro"
"186","tole"
"187","topo"
"188","torr"
"189","torta"
"190","toto"
"191","tottle"
"192","toyon"
"193","trinitarian"
"194","trona"
"195","trow"
"196","tufa"
"197","tule"
"198","turd"
"199","tyee"
"200","undeluded"
"201","unicity"
"202","vagal"
"203","wadi"
"204","wank"
"205","welch"
"206","whinge"
"207","whinging"
"208","willet"
"209","williwaw"
"210","woad"
"211","zazen"
"212","zoonoses"
"213","zoonosis"
"214","zoonotic"
